0.8488345,0.36145762646293933,rmsprop,64,100,0.2,0.001
0.84585404,0.36251561471556815,rmsprop,128,100,0.2,0.01
0.84210926,0.36761095067859834,rmsprop,128,100,0.1,0.003
0.8337027,0.37582870203892055,rmsprop,128,25,0.2,0.003
0.84073365,0.3770940193248059,rmsprop,128,25,0.2,0.001
0.83744746,0.3772387341797967,rmsprop,128,100,0.2,0.003
0.8369125,0.37768609033407124,rmsprop,256,25,0.2,0.001
0.83102787,0.37852977455049513,rmsprop,128,25,0,0.001
0.842415,0.3795304293458499,rmsprop,128,100,0,0.003
0.8368361,0.38084632061709417,rmsprop,256,100,0.2,0.001
0.8414215,0.38568075033467736,rmsprop,128,100,0.1,0.01
0.8418036,0.3858091610713364,rmsprop,64,50,0,0.003
0.84486055,0.387345303626383,rmsprop,64,25,0.1,0.003
0.8425678,0.38870833944536415,rmsprop,128,50,0,0.001
0.8402751,0.38925038492766145,rmsprop,64,25,0.1,0.001
0.83247995,0.38962971684948194,rmsprop,128,50,0.2,0.003
0.848376,0.39005276430504987,rmsprop,64,50,0.2,0.001
0.83721817,0.39078869945364325,rmsprop,64,25,0.2,0.003
0.84707683,0.3911163529572616,rmsprop,64,50,0.2,0.003
0.8412686,0.39178593158721925,rmsprop,128,25,0.2,0.01
0.8327092,0.39276114126448874,rmsprop,128,100,0.2,0.001
0.8444784,0.3934073232174102,rmsprop,64,50,0.1,0.01
0.8302637,0.39673960576496553,rmsprop,256,100,0.1,0.001
0.8143676,0.3989932127385181,rmsprop,256,25,0.1,0.001
0.8380588,0.4003640229095245,rmsprop,128,50,0,0.003
0.8342377,0.40143435797620286,rmsprop,128,25,0,0.01
0.837906,0.4030732324162557,rmsprop,64,25,0.2,0.01
0.8444784,0.4042458416101902,rmsprop,128,50,0.2,0.001
0.84455484,0.40427772602508394,rmsprop,64,100,0.1,0.01
0.8071074,0.40564113007413555,rmsprop,128,25,0,0.003
0.8512801,0.4057728256302842,rmsprop,64,100,0.1,0.003
0.8173481,0.4059402384624073,adam,256,25,0.2,0.001
0.81979364,0.4079106431769013,rmsprop,256,50,0.1,0.003
0.8454719,0.4079196030942365,rmsprop,128,50,0.2,0.01
0.8158196,0.4080727474535518,rmsprop,256,25,0.1,0.003
0.83714175,0.41100834771381517,rmsprop,256,50,0,0.001
0.82369125,0.41102065050652065,rmsprop,64,50,0.1,0.001
0.84203285,0.41202513899655574,rmsprop,128,100,0,0.01
